Number,Grant Name,Funder,2026 Deadline,Award Range (Low),Award Range (High),Match Requirement,Eligibility,Hub Fit (Stars),Tier,Program URL,Key Scoring Criteria
1,MDARD Specialty Crop Block Grant,MDARD / USDA AMS,February 5 2026,$100000,$125000,None required,"Michigan-based nonprofits, for-profits, local govts, tribal, educational institutions",3 Stars,1,https://www.michigan.gov/mdard/food-ag/specialty-crops/specialty-crop-block-grant,"Alignment with focus areas: marketing, research, education/training, food safety, environmental sustainability, labor/workforce"
2,Michigan Going PRO Talent Fund,MI Department of Labor and Economic Opportunity,October 30 2025 (Cycle 1) / April 24 2026 (Cycle 2),$1000 per employee,$5000 per employee,Employer cost-share required,"Michigan employers training current or new employees; applications through local Michigan Works! agency",3 Stars,1,https://www.michigan.gov/leo/bureaus-agencies/wd/programs-services/going-pro-talent-fund,"Occupational demand, wage outcomes, employer commitment, skill gap addressed, training provider credentials"
3,USDA REAP (Rural Energy for America Program),USDA Rural Development,March 31 2026 (Q3 FY2026),$100000,$1000000,Yes – applicant covers 50% (IRA) or 75% (Farm Bill) of project cost,"Agricultural producers (≥50% income from ag) OR rural small businesses in areas <50000 population",2 Stars,1,https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-efficiency-improvement-guaranteed-loans-grants,"Energy savings/production, environmental benefits, financial feasibility, project readiness; technical report required"
4,USDA Value-Added Producer Grant (VAPG),USDA Rural Development,April 15 2026,$50000,$200000,1:1 match (100% of grant amount; cash or in-kind),"Independent agricultural producers, ag producer groups, farmer/rancher cooperatives, majority producer-owned businesses",2 Stars,1,https://www.rd.usda.gov/programs-services/business-programs/value-added-producer-grants,"Work plan quality, personnel qualifications, commitment; priority for beginning/veteran/socially disadvantaged farmers and cooperatives"
5,USDA Community Facilities Direct Loan & Grant,USDA Rural Development,Rolling (Oct 1 – Sep 30 annually),$50000,$500000,Partial – grant covers 15-75% of project cost based on community income and population,"Public bodies, community-based nonprofits, Federally Recognized Tribes; rural areas ≤20000 residents",2 Stars,1,https://www.rd.usda.gov/programs-services/community-facilities/community-facilities-direct-loan-grant-program,"Community population size (smaller = higher priority), median household income vs. state median, essential service classification"
6,Grand Rapids Community Foundation,Grand Rapids Community Foundation,~Fall 2026 (monitor for RFP),$25000,$450000,LEED required if capital campaign element,"Nonprofits serving Kent County / Grand Rapids metro area; must align with Education, Environment, Arts/Culture, or Community Health",3 Stars,1,https://www.grfoundation.org/apply-for-funding,"Alignment with four focus areas, geographic service area, demonstrated community need"
7,Dyer-Ives Foundation,Dyer-Ives Foundation (Grand Rapids),TBD – relationship cultivation,$30000,$50000,None stated,"Local nonprofits focused on Grand Rapids neighborhood impact; community development and child/family focus",2 Stars,1,https://www.dyerivesfoundation.org,"Community impact, neighborhood improvement, child development, equity"
8,USDA AFRI Foundational and Applied Science,USDA NIFA,August 2026 (FY2026 FAS program cycle),$100000,$10000000,None required,"U.S. colleges, universities, federal agencies, state ag experiment stations, private organizations",3 Stars,2,https://www.nifa.usda.gov/grants/funding-opportunities/agriculture-food-research-initiative-foundational-applied-science,"Scientific merit, relevance to AFRI priority areas, integration of research + education + extension, American farmer benefit"
9,USDA NIFA Specialty Crop Research Initiative (SCRI),USDA NIFA,June 15 2026 (pre-application),$226905,$10900000,Required (rate varies by award type; industry match preferred),"Colleges/universities, federal agencies, national labs, private sector, tribal organizations, nonprofits",3 Stars,2,https://www.nifa.usda.gov/grants/funding-opportunities/specialty-crop-research-initiative,"Systems approach, national/regional significance, integration of research + extension, specialty crop industry benefit, multi-institutional collaboration"
10,NSF INFEWS / DISES (Food-Energy-Water Nexus),NSF + USDA NIFA,TBD (monitor nsf.gov for updated solicitation),$300000,$2500000,None required,"U.S. universities and research institutions; interdisciplinary team required",3 Stars,2,https://www.nsf.gov/funding/opportunities/infews-innovations-nexus-food-energy-water-systems/,"Genuine FEW systems integration, interdisciplinary approach, computational/modeling component, cyber-enabled decision support"
11,EPA Environmental Justice Government-to-Government (EJG2G),EPA Office of Environmental Justice,TBD – monitor EPA.gov,$500000,$2000000,None required,"State, local, tribal governments in partnership with community-based nonprofit; local government set-aside $20M",2 Stars,2,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,"Disadvantaged community focus, measurable environmental/health impact, workforce development reducing GHG, partnership with CBO"
12,Kresge Foundation,Kresge Foundation (Troy MI),Invitation-based (no open RFP),$500000,$5000000,None stated,"Nonprofits in Kresge priority cities (primarily Detroit, Fresno, Memphis, New Orleans); EFOD-aligned organizations",2 Stars,3,https://kresge.org,"Equitable food systems, community-led development, climate/health equity, EFOD framework alignment"
13,MEDC Michigan Strategic Fund,Michigan Economic Development Corporation,Rolling / varies,$100000,$5000000,Varies by program,"Michigan businesses, nonprofits, public bodies; Opportunity Zone census tracts for OZ incentives",2 Stars,3,https://www.michiganbusiness.org,"Economic impact, job creation, investment leverage, site readiness, innovation sector alignment"
